X,CH1,
Second,Volt,
-1.53680e-01,1.60e-03,
-1.53660e-01,1.60e-03,
-1.53640e-01,2.40e-03,
-1.53620e-01,2.40e-03,
-1.53600e-01,8.00e-04,
-1.53580e-01,3.20e-03,
-1.53560e-01,3.20e-03,
-1.53540e-01,8.00e-04,
-1.53520e-01,8.00e-04,
-1.53500e-01,8.00e-04,
-1.53480e-01,2.40e-03,
-1.53460e-01,8.00e-04,
-1.53440e-01,1.60e-03,
-1.53420e-01,8.00e-04,
-1.53400e-01,2.40e-03,
-1.53380e-01,8.00e-04,
-1.53360e-01,8.00e-04,
-1.53340e-01,1.60e-03,
-1.53320e-01,2.40e-03,
-1.53300e-01,1.60e-03,
-1.53280e-01,4.80e-03,
-1.53260e-01,8.00e-04,
-1.53240e-01,8.00e-04,
-1.53220e-01,8.00e-04,
-1.53200e-01,3.20e-03,
-1.53180e-01,2.40e-03,
-1.53160e-01,8.00e-04,
-1.53140e-01,2.40e-03,
-1.53120e-01,2.40e-03,
-1.53100e-01,4.00e-03,
-1.53080e-01,3.20e-03,
-1.53060e-01,3.20e-03,
-1.53040e-01,3.20e-03,
-1.53020e-01,3.20e-03,
-1.53000e-01,3.20e-03,
-1.52980e-01,4.00e-03,
-1.52960e-01,2.40e-03,
-1.52940e-01,3.20e-03,
-1.52920e-01,3.20e-03,
-1.52900e-01,4.80e-03,
-1.52880e-01,4.00e-03,
-1.52860e-01,4.00e-03,
-1.52840e-01,4.00e-03,
-1.52820e-01,4.00e-03,
-1.52800e-01,3.20e-03,
-1.52780e-01,1.60e-03,
-1.52760e-01,2.40e-03,
-1.52740e-01,2.40e-03,
-1.52720e-01,3.20e-03,
-1.52700e-01,1.60e-03,
-1.52680e-01,4.00e-03,
-1.52660e-01,4.80e-03,
-1.52640e-01,4.00e-03,
-1.52620e-01,5.60e-03,
-1.52600e-01,4.00e-03,
-1.52580e-01,4.00e-03,
-1.52560e-01,4.00e-03,
-1.52540e-01,4.00e-03,
-1.52520e-01,3.20e-03,
-1.52500e-01,3.20e-03,
